2010,2011,2012,2013,2014,2015,average,Average 2010-2015,Stop ID,Stop Name,
1332009,1115321,1191257,1446020,1481633,1487929,1342361.5,"1,342,361.50",B17,71 St,
1728820,1633616,1651785,1949861,2041896,2043471,1841574.833,"1,841,574.83",B18,79 St,
1752952,1654305,1661770,1954729,1996205,1925239,1824200,"1,824,200.00",B19,18 Av,
1409313,1370001,1377648,1547029,1564060,1592525,1476762.667,"1,476,762.67",B20,20 Av,
2107643,2018400,2038864,2298420,2362284,2368617,2199038,"2,199,038.00",B21,Bay Pkwy,
1328491,1266146,1206526,1421090,1488192,1508412,1369809.5,"1,369,809.50",B22,25 Av,
969133,920243,777836,847843,884302,872953,878718.3333,"878,718.33",B23,Bay 50 St,
2410949,2472094,2463462,2569581,2709761,2750124,2562661.833,"2,562,661.83",D01,Norwood - 205 St,
1885231,1914096,1929623,2040887,2136860,2196065,2017127,"2,017,127.00",D03,Bedford Park Blvd,
2285401,2275576,2255556,2390749,2562374,2530782,2383406.333,"2,383,406.33",D04,Kingsbridge Rd,
3681362,3680312,3655007,3876601,4028205,3905346,3804472.167,"3,804,472.17",D05,Fordham Rd,
1495831,1489026,1447028,1520856,1604218,1643266,1533370.833,"1,533,370.83",D06,182-183 Sts,
2709632,2772602,2791329,2952385,3130848,3155197,2918665.5,"2,918,665.50",D07,Tremont Av,
1451367,1492092,1496869,1598189,1719504,1695879,1575650,"1,575,650.00",D08,174-175 Sts,
1940700,1988409,2032837,2174082,2297459,2286670,2120026.167,"2,120,026.17",D09,170 St,
2907900,2952368,2972535,3091289,3245977,3295032,3077516.833,"3,077,516.83",D10,167 St,
1241223,1248295,1257551,1281168,1299098,1306282,1272269.5,"1,272,269.50",D12,155 St,
4136423,4297779,4384090,4744808,5092341,5252615,4651342.667,"4,651,342.67",D14,7 Av,
16517856,17466013,17091251,17759382,18236646,18469446,17590099,"17,590,099.00",D15,47-50 Sts - Rockefeller Ctr,
37769752,37731386,37154138,38213448,39285568,39541865,38282692.83,"38,282,692.83",D17-R17,34 St - Herald Sq / 34 St - Herald Sq,
7394628,7911886,8078511,8446249,8678810,8942154,8242039.667,"8,242,039.67",D18,23 St,
7746428,7770139,7658249,7994060,8131543,8010864,7885213.833,"7,885,213.83",D22,Grand St,
3064214,2953368,2824839,2905400,2932926,2980366,2943518.833,"2,943,518.83",D25,7 Av,
2867309,2815199,2892200,3190679,3312727,3327301,3067569.167,"3,067,569.17",D26,Prospect Park,
2050518,2098007,1812362,1381093,1617878,1692567,1775404.167,"1,775,404.17",D27,Parkside Av,
4654613,4665059,4982615,5603898,5482093,5707573,5182641.833,"5,182,641.83",D28,Church Av,
1070872,1095502,950243,737652,838970,899663,932150.3333,"932,150.33",D29,Beverley Rd,
2086918,2135444,1992781,1700177,1806758,1961144,1947203.667,"1,947,203.67",D30,Cortelyou Rd,
2867372,2999870,3021079,3380559,3302958,3432907,3167457.5,"3,167,457.50",D31,Newkirk Plaza,
662564,521818,823237,875106,896279,899662,779777.6667,"779,777.67",D32,Avenue H,
2059453,2085557,1807574,1867576,1850087,1848674,1919820.167,"1,919,820.17",D33,Avenue J,
1351418,1345774,1608901,1730576,1731955,1733583,1583701.167,"1,583,701.17",D34,Avenue M,
5755515,5311662,5453084,5697467,5693562,5905481,5636128.5,"5,636,128.50",D35,Kings Hwy,
1325173,2136714,2071874,2176073,2175035,2231577,2019407.667,"2,019,407.67",D37,Avenue U,
791867,1242661,1148708,1218313,1232947,1305776,1156712,"1,156,712.00",D38,Neck Rd,
4481755,4096449,4148629,4205275,4201776,4296566,4238408.333,"4,238,408.33",D39,Sheepshead Bay,
3995043,3842789,3781554,3810743,3872092,4014831,3886175.333,"3,886,175.33",D40,Brighton Beach,
1057060,1033582,983972,990091,969271,1022215,1009365.167,"1,009,365.17",D41,Ocean Pkwy,
867792,814749,767921,702810,741345,789416,780672.1667,"780,672.17",D42,W 8 St - NY Aquarium,
4768416,4649438,4733106,4690794,4980140,5132083,4825662.833,"4,825,662.83",D43,Coney Island - Stillwell Av,
14760127,15458781,15364366,15641210,16088983,16910084,15703925.17,"15,703,925.17",E01-228-A36,World Trade Center / Park Pl / Chambers St,
6711779,6818728,6767423,6868439,6818494,6898938,6813966.833,"6,813,966.83",F01,Jamaica - 179 St,
2679080,2781001,2759602,2834112,2854274,2858542,2794435.167,"2,794,435.17",F02,169 St,
1903041,1920497,1950852,2035948,2052252,2094007,1992766.167,"1,992,766.17",F03,Parsons Blvd,
1465324,1470022,1468970,1550363,1468419,1506607,1488284.167,"1,488,284.17",F04,Sutphin Blvd,
1752198,1730276,1563242,1427813,1427017,1479278,1563304,"1,563,304.00",F05,Briarwood - Van Wyck Blvd,
8170406,8179749,8296905,8609185,8363109,8354731,8329014.167,"8,329,014.17",F06,Kew Gardens - Union Tpke,
1134336,1171380,1130707,1155836,1131705,1136305,1143378.167,"1,143,378.17",F07,75 Av,
6309404,6519696,6744422,7298061,7543062,7597212,7001976.167,"7,001,976.17",F12,5 Av/53 St,
5627896,5728217,5706955,5999079,5772265,5847710,5780353.667,"5,780,353.67",F14,2 Av,
6745791,7172867,7280936,7759914,7909365,8226975,7515974.667,"7,515,974.67",F15-M18,Delancey St / Essex St,
4001149,4057707,4021679,4208654,4379909,4576662,4207626.667,"4,207,626.67",F16,East Broadway,
2041208,2251649,2344141,2666502,2760385,2900416,2494050.167,"2,494,050.17",F18,York St,
3296466,3452452,3529174,3650848,3711317,3708300,3558092.833,"3,558,092.83",F20,Bergen St,
